"File","Reason","Key change","Security impact","Regression impact"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Controllers/AccessController.cs","Current permission API and personal history","Expose DB-derived context, action capabilities and scoped analytics/history","Viewer denial and Creator identity checks","HTTP tests; historical channel policy still open"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Controllers/CollaborationTasksController.cs","Cross-team authorization","Check requester action, target compatibility and management channel","Safe outcome responses; no target access matrix","Grantor authority and expiry races remain open"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Controllers/CreditUsageController.cs","Credit history privacy","Deny Creator filtering another member","Closes user/member ID substitution","Wallet visibility policy remains open"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Controllers/TeamsController.cs","Real Team administration","Validate workspace members/brands, ALL/SPECIFIC and transfers","Channel access requires matching Brand","Legacy backfill and team Manager policy remain blocked"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Middleware/ActiveWorkspaceMiddleware.cs","Establish workspace boundary","Protect access/team/collaboration route prefixes","Resolve active workspace membership before resource scope","HTTP route regression covered"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Middleware/ExceptionHandlerMiddleware.cs","401/403 distinction","Map resource access denial to generic 403","No authorization-denial logout","Production log audit remains partial"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Middleware/ResourceAccessMiddleware.cs","Consistent route authorization","Normalize path and reject forbidden analytics/filter identifiers","Blocks Viewer/direct API and out-of-scope campaign filter","HTTP route variants covered; full endpoint proof incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Program.cs","Wire security components","Register scope, action services and current session validation","Production middleware uses new authorization services","Build/HTTP tests; production workers not verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.API/Utils/CurrentSessionValidation.cs","JWT/session freshness","Validate sid, session active/revoked/expiry and current account role","Reject stale/revoked or legacy sid-less tokens","Real signed JWT pipeline tests; old clients must log in"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Common/Dtos/Response/AdCampaignResponseDto.cs","Separate metadata and metrics","Nullable metrics with JSON omission; canViewAnalytics","No protected metrics in unauthorized metadata DTO","FE contracts updated; external clients need migration"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Common/Dtos/Response/ContentResponseDto.cs","Stable creator attribution","Expose PrimaryCreatorId","Avoid identity inference from display name","Preserved CP-2 change"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Common/Dtos/Response/WorkspaceMemberResponseDto.cs","Separate directory and sensitive management data","Nullable omitted quota/credit fields","Prevent other-member credit projection","Consumers must distinguish absent fields from zero"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/AccessScope.cs","Server-resolved resource scope","Separate brands/channels/history/editable/campaign IDs","Historical VIEW does not grant generic access","Materialized IDs still require scale testing"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/ContentAction.cs","Explicit action contract","Declare distinct content actions","CanEdit is not universal mutation permission","Exact assignee/Creator matrix remains open"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/AdCampaign.cs","CP-2 permission entity / attribution","Persist AdCampaign relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/AuditLog.cs","CP-2 permission entity / attribution","Persist AuditLog relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/CollaborationTask.cs","CP-2 permission entity / attribution","Persist CollaborationTask relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/Content.cs","CP-2 permission entity / attribution","Persist Content relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
